<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:00:00	2625.14	2625.59	2624.26	2624.74	302	0	27
2025.01.02	01:15:00	2624.79	2625.02	2623.38	2623.56	443	0	25
2025.01.02	01:30:00	2623.57	2623.85	2621.86	2621.86	398	0	26
2025.01.02	01:45:00	2621.81	2624.38	2621.64	2623.70	413	0	25
2025.01.02	02:00:00	2623.89	2626.03	2622.61	2625.59	624	0	27
2025.01.02	02:15:00	2625.59	2626.40	2625.07	2626.30	601	0	18
2025.01.02	02:30:00	2626.26	2627.40	2625.37	2626.83	570	0	18
2025.01.02	02:45:00	2626.86	2627.66	2625.27	2625.27	777	0	28
2025.01.02	03:00:00	2625.27	2630.80	2623.75	2629.57	2476	0	30
2025.01.02	03:15:00	2629.45	2632.95	2629.37	2632.56	1663	0	28
2025.01.02	03:30:00	2632.55	2634.43	2632.37	2633.53	1450	0	25
2025.01.02	03:45:00	2633.25	2633.56	2631.60	2632.89	1659	0	16
2025.01.02	04:00:00	2632.93	2634.81	2632.59	2634.60	1516	0	16
2025.01.02	04:15:00	2634.61	2636.51	2633.94	2635.67	973	0	16
2025.01.02	04:30:00	2635.68	2635.69	2632.62	2633.36	1532	0	19
2025.01.02	04:45:00	2633.35	2635.34	2632.25	2634.72	1371	0	16
2025.01.02	05:00:00	2634.73	2635.35	2633.10	2633.13	1344	0	16
2025.01.02	05:15:00	2633.11	2634.72	2632.98	2633.31	1120	0	17
2025.01.02	05:30:00	2633.30	2634.15	2632.27	2633.37	769	0	16
2025.01.02	05:45:00	2633.36	2633.82	2632.78	2633.59	416	0	16
2025.01.02	06:00:00	2633.58	2633.63	2632.03	2632.25	568	0	21
2025.01.02	06:15:00	2632.20	2633.10	2632.09	2632.38	508	0	16
2025.01.02	06:30:00	2632.37	2632.84	2632.03	2632.07	508	0	16
2025.01.02	06:45:00	2632.01	2634.12	2631.03	2633.96	778	0	18
2025.01.02	07:00:00	2633.97	2634.31	2633.05	2633.35	656	0	16
2025.01.02	07:15:00	2633.33	2635.22	2633.29	2634.82	801	0	16
2025.01.02	07:30:00	2634.83	2636.39	2634.46	2634.91	1027	0	30
2025.01.02	07:45:00	2634.86	2635.24	2633.96	2633.98	1141	0	22
2025.01.02	08:00:00	2633.98	2633.98	2631.46	2631.77	1471	0	16
2025.01.02	08:15:00	2631.76	2634.40	2631.30	2634.22	980	0	16
2025.01.02	08:30:00	2634.22	2634.67	2633.35	2634.09	912	0	16
2025.01.02	08:45:00	2634.10	2635.12	2633.52	2634.18	1142	0	21
2025.01.02	09:00:00	2634.19	2635.03	2633.61	2634.42	1020	0	18
2025.01.02	09:15:00	2634.31	2635.95	2633.61	2634.34	1093	0	18
2025.01.02	09:30:00	2634.37	2634.37	2633.01	2633.63	1074	0	15
2025.01.02	09:45:00	2633.64	2635.95	2632.97	2635.91	1116	0	13
2025.01.02	10:00:00	2635.93	2636.97	2633.94	2635.10	1562	0	18
2025.01.02	10:15:00	2635.08	2635.10	2631.34	2633.26	1664	0	15
2025.01.02	10:30:00	2633.27	2636.80	2631.09	2636.13	1287	0	17
2025.01.02	10:45:00	2636.13	2637.69	2635.28	2636.44	1227	0	15
2025.01.02	11:00:00	2636.51	2639.83	2636.51	2638.22	1473	0	15
2025.01.02	11:15:00	2638.06	2639.97	2637.25	2637.37	1082	0	12
2025.01.02	11:30:00	2637.46	2638.42	2636.72	2637.16	1105	0	14
2025.01.02	11:45:00	2637.17	2637.94	2636.04	2636.12	1204	0	13
2025.01.02	12:00:00	2636.13	2638.98	2632.79	2638.92	1496	0	12
2025.01.02	12:15:00	2638.91	2646.29	2638.10	2644.80	2134	0	15
2025.01.02	12:30:00	2644.82	2645.70	2643.14	2643.98	1630	0	13
2025.01.02	12:45:00	2643.96	2644.13	2640.48	2642.72	1837	0	13
2025.01.02	13:00:00	2642.71	2644.60	2642.41	2644.18	1244	0	12
2025.01.02	13:15:00	2644.20	2644.40	2640.62	2641.78	1275	0	12
2025.01.02	13:30:00	2641.84	2642.85	2640.31	2642.08	1105	0	12
2025.01.02	13:45:00	2642.08	2642.55	2641.15	2641.92	864	0	12
2025.01.02	14:00:00	2641.94	2642.82	2640.35	2641.01	1093	0	12
2025.01.02	14:15:00	2641.00	2643.18	2640.55	2642.71	1074	0	12
2025.01.02	14:30:00	2642.70	2645.20	2642.08	2644.24	1465	0	12
2025.01.02	14:45:00	2644.37	2646.43	2642.83	2643.36	1482	0	12
2025.01.02	15:00:00	2643.26	2643.34	2638.33	2638.52	2808	0	13
2025.01.02	15:15:00	2638.52	2641.03	2636.06	2640.99	2398	0	12
2025.01.02	15:30:00	2640.92	2640.96	2637.01	2639.18	2629	0	12
2025.01.02	15:45:00	2639.11	2647.19	2638.19	2642.93	2473	0	12
2025.01.02	16:00:00	2642.93	2646.92	2640.36	2646.92	2056	0	12
2025.01.02	16:15:00	2646.89	2649.02	2646.16	2646.32	2205	0	12
2025.01.02	16:30:00	2646.32	2650.09	2646.28	2649.07	2718	0	12
2025.01.02	16:45:00	2649.05	2651.02	2646.93	2647.77	2416	0	12
2025.01.02	17:00:00	2647.49	2649.61	2645.17	2648.62	2765	0	12
2025.01.02	17:15:00	2648.62	2649.63	2647.59	2648.81	2255	0	12
2025.01.02	17:30:00	2648.78	2653.68	2648.38	2652.00	2671	0	12
2025.01.02	17:45:00	2651.98	2655.80	2651.43	2654.08	2716	0	12
2025.01.02	18:00:00	2654.09	2654.44	2649.93	2653.63	2929	0	12
2025.01.02	18:15:00	2653.62	2657.94	2653.37	2656.74	2627	0	12
2025.01.02	18:30:00	2656.73	2658.41	2654.85	2657.41	1846	0	12
2025.01.02	18:45:00	2657.37	2660.38	2657.37	2659.24	1660	0	12
2025.01.02	19:00:00	2659.23	2660.40	2657.97	2659.03	1321	0	16
2025.01.02	19:15:00	2659.04	2659.90	2655.97	2656.24	1585	0	16
2025.01.02	19:30:00	2656.28	2656.41	2653.07	2653.60	1950	0	15
2025.01.02	19:45:00	2653.62	2656.68	2652.51	2656.53	1777	0	13
2025.01.02	20:00:00	2656.54	2658.80	2655.93	2656.67	1852	0	13
2025.01.02	20:15:00	2656.82	2658.15	2654.92	2654.94	1474	0	15
2025.01.02	20:30:00	2654.93	2656.16	2653.79	2655.82	1352	0	13
2025.01.02	20:45:00	2655.84	2656.07	2654.72	2655.41	1185	0	13
2025.01.02	21:00:00	2655.42	2655.92	2654.31	2654.57	1361	0	13
2025.01.02	21:15:00	2654.58	2656.04	2653.80	2655.52	1648	0	13
2025.01.02	21:30:00	2655.51	2657.10	2654.42	2654.86	1431	0	13
2025.01.02	21:45:00	2654.91	2655.58	2654.29	2654.63	1368	0	13
2025.01.02	22:00:00	2654.64	2657.23	2654.06	2656.99	1348	0	13
2025.01.02	22:15:00	2656.99	2660.36	2656.36	2659.88	1177	0	13
2025.01.02	22:30:00	2659.89	2660.39	2658.68	2659.09	1460	0	14
2025.01.02	22:45:00	2659.05	2660.01	2659.02	2659.72	1320	0	14
2025.01.02	23:00:00	2659.69	2660.14	2658.97	2658.97	326	0	13
2025.01.02	23:15:00	2658.98	2659.27	2657.80	2658.11	408	0	13
2025.01.02	23:30:00	2658.09	2658.26	2656.49	2657.63	335	0	15
2025.01.02	23:45:00	2657.69	2658.17	2656.76	2657.10	219	0	67
2025.01.03	01:00:00	2657.80	2658.29	2657.70	2658.11	162	0	19
2025.01.03	01:15:00	2658.11	2658.97	2658.02	2658.81	288	0	19
2025.01.03	01:30:00	2658.81	2659.54	2658.44	2659.16	307	0	19
2025.01.03	01:45:00	2659.22	2659.37	2657.83	2658.39	623	0	21
2025.01.03	02:00:00	2658.37	2661.04	2658.35	2660.62	504	0	16
2025.01.03	02:15:00	2660.58	2661.08	2659.15	2659.64	506	0	16
2025.01.03	02:30:00	2659.63	2660.23	2658.55	2659.00	782	0	19
2025.01.03	02:45:00	2659.00	2660.98	2658.77	2660.81	661	0	16
2025.01.03	03:00:00	2660.80	2662.57	2659.26	2660.85	1560	0	16
2025.01.03	03:15:00	2660.82	2661.35	2658.03	2658.78	1025	0	16
2025.01.03	03:30:00	2658.77	2659.21	2656.62	2656.93	923	0	16
2025.01.03	03:45:00	2656.93	2660.15	2656.92	2659.48	1018	0	16
2025.01.03	04:00:00	2659.46	2660.14	2656.20	2659.30	1356	0	17
2025.01.03	04:15:00	2659.30	2664.04	2658.66	2659.29	1207	0	18
2025.01.03	04:30:00	2659.29	2662.04	2658.97	2661.36	1291	0	16
2025.01.03	04:45:00	2661.35	2663.07	2659.85	2662.53	1565	0	16
2025.01.03	05:00:00	2662.52	2664.50	2661.27	2663.11	1416	0	16
2025.01.03	05:15:00	2663.16	2665.30	2662.97	2663.55	1320	0	16
2025.01.03	05:30:00	2663.57	2663.66	2662.08	2662.51	892	0	16
2025.01.03	05:45:00	2662.50	2663.59	2662.19	2662.30	878	0	16
2025.01.03	06:00:00	2662.27	2663.00	2661.78	2662.86	761	0	16
2025.01.03	06:15:00	2662.86	2664.33	2662.65	2663.94	464	0	16
2025.01.03	06:30:00	2663.93	2664.05	2661.88	2662.22	435	0	16
2025.01.03	06:45:00	2662.15	2663.17	2661.76	2662.88	427	0	16
2025.01.03	07:00:00	2662.91	2662.96	2661.07	2661.39	744	0	16
2025.01.03	07:15:00	2661.37	2661.38	2659.91	2660.47	820	0	16
2025.01.03	07:30:00	2660.45	2660.45	2658.61	2658.92	996	0	20
2025.01.03	07:45:00	2658.90	2658.96	2655.89	2658.57	1147	0	17
2025.01.03	08:00:00	2658.54	2660.02	2657.79	2658.41	850	0	18
2025.01.03	08:15:00	2658.48	2659.68	2657.23	2657.34	865	0	16
2025.01.03	08:30:00	2657.27	2659.37	2656.72	2659.25	948	0	16
2025.01.03	08:45:00	2659.26	2660.27	2658.82	2659.54	1046	0	16
2025.01.03	09:00:00	2659.54	2659.54	2655.64	2656.10	1056	0	14
2025.01.03	09:15:00	2656.09	2656.30	2651.80	2652.81	1640	0	12
2025.01.03	09:30:00	2652.81	2655.02	2652.56	2654.86	1336	0	12
2025.01.03	09:45:00	2654.85	2656.10	2652.97	2653.88	1345	0	12
2025.01.03	10:00:00	2653.78	2655.56	2652.05	2653.93	1758	0	13
2025.01.03	10:15:00	2653.94	2654.77	2652.01	2652.59	1439	0	12
2025.01.03	10:30:00	2652.55	2653.61	2651.32	2652.86	1713	0	12
2025.01.03	10:45:00	2652.86	2653.46	2649.87	2652.90	1622	0	12
2025.01.03	11:00:00	2652.89	2655.64	2652.75	2654.53	1737	0	12
2025.01.03	11:15:00	2654.46	2655.94	2653.16	2653.97	1275	0	12
2025.01.03	11:30:00	2653.97	2655.93	2653.96	2654.06	1076	0	12
2025.01.03	11:45:00	2654.06	2654.64	2652.95	2653.59	1019	0	12
2025.01.03	12:00:00	2653.58	2656.87	2653.52	2656.76	1119	0	12
2025.01.03	12:15:00	2656.75	2657.30	2655.53	2656.18	944	0	12
2025.01.03	12:30:00	2656.17	2656.40	2653.08	2655.19	1128	0	12
2025.01.03	12:45:00	2655.23	2658.01	2654.67	2657.77	785	0	12
2025.01.03	13:00:00	2657.69	2658.81	2657.36	2657.93	963	0	12
2025.01.03	13:15:00	2657.93	2659.31	2656.32	2656.95	1109	0	12
2025.01.03	13:30:00	2656.96	2658.51	2656.51	2658.36	1097	0	12
2025.01.03	13:45:00	2658.34	2658.74	2656.67	2657.62	1158	0	14
2025.01.03	14:00:00	2657.71	2658.30	2657.08	2657.88	969	0	12
2025.01.03	14:15:00	2657.87	2657.94	2655.32	2655.65	1182	0	12
2025.01.03	14:30:00	2655.47	2657.27	2654.76	2656.78	1079	0	12
2025.01.03	14:45:00	2656.79	2657.51	2655.22	2655.26	1041	0	12
